2025-12-06 01:13:02 | api_format_checker.validation       | INFO     | logger_config   | info                     :44   | Анализ завершен: 25 строк, 0 категорий
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Распределение по типам строк: {'main_header': 1, 'section_header': 4, 'index_entry': 3, 'table_row': 10, 'table_separator': 3}
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: analyze_file_content (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: analyze_file_content_time = 3.673553466796875ms
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   | СТАТИСТИКА ФАЙЛА:
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Всего строк: 25
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Непустых строк: 21 (84.0%)
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Категорий: 0
2025-12-06 01:13:02 | api_format_checker.statistics       | INFO     | logger_config   | info                     :44   |   Строк с API: 10
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_file_format
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | check_file_format        :604  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | check_file_format        :605  | НАЧАЛО ПРОВЕРКИ ФОРМАТА ФАЙЛА
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | check_file_format        :606  | ====================================================================================================
2025-12-06 01:13:02 | api_format_checker                  | INFO     | format          | check_file_format        :625  | Начало проверки отдельных записей API
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_entry
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Начало проверки записи на строке 9
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_title
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка заголовка на строке 9
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 9: Title syntax should be "[TITLE](LINK)"
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_title (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_title_time = 2.578258514404297ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_description
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка описания на строке 9
2025-12-06 01:13:02 | api_format_checker.errors           | WARNING  | logger_config   | warning                  :48   | Validation warning at line 9: description is very short (11 characters)
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Описание на строке 9 прошло проверку
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_description (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_description_time = 3.1430721282958984ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_auth
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка аутентификации на строке 9
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 9: auth value is not enclosed with `backticks`
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 9: Auth is not a valid Auth option
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_auth (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_auth_time = 2.2993087768554688ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_https
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка HTTPS на строке 9
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 9: HTTPS is not a valid HTTPS option
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_https (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_https_time = 2.1390914916992188ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_cors
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка CORS на строке 9
